Null, shoe           , hu                 , Covering that is worn on one's feet.                                                   , 7 , 1, 3
Null, cloak          , kahu               , Pending                                                                                , 5 , 1, 3
Null, garment        , kakahu             , Pending                                                                                , 4 , 1, 3
Null, thread         , miro               , Pending                                                                                , 2 , 1, 3
Null, flax skirt     , piupiu             , Pending                                                                                , 3 , 1, 3
Null, jersey         , poraka             , Pending                                                                                , 7 , 1, 3
Null, hat            , potae              , Pending                                                                                , 7 , 1, 3
Null, trousers       , tarau              , Pending                                                                                , 7 , 1, 3
Null, socks          , tokena             , Pending                                                                                , 2 , 1, 3
Null, god            , atua               , Pending                                                                                , 4 , 1, 4
Null, war dance      , haka               , Pending                                                                                , 4 , 1, 4
Null, flag           , haki               , Pending                                                                                , 7 , 1, 4
Null, prayer         , karakia            , Pending                                                                                , 6 , 1, 4
Null, ghost          , kehua              , Pending                                                                                , 2 , 1, 4
Null, basket         , kete               , Pending                                                                                , 3 , 1, 4
Null, marae          , marae              , Pending                                                                                , 9 , 1, 4
Null, life spirit    , mauri              , Pending                                                                                , 2 , 1, 4
Null, greenstone     , pounamu            , Pending                                                                                , 5 , 1, 4
Null, spirit         , wairua             , Pending                                                                                , 2 , 1, 4
Null, smelly         , haunga             , Pending                                                                                , 2 , 1, 5
Null, blue           , kahurangi          , Pending                                                                                , 2 , 1, 5
Null, green          , kakariki           , Pending                                                                                , 10, 1, 5
Null, colour         , kano               , Pending                                                                                , 8 , 1, 5
Null, orange         , karaka             , Pending                                                                                , 1 , 1, 5
Null, sharp          , koi                , Pending                                                                                , 8 , 1, 5
Null, yellow         , kowhai             , Pending                                                                                , 4 , 1, 5
Null, red            , kura               , Pending                                                                                , 1 , 1, 5
Null, white          , ma                 , Pending                                                                                , 10, 1, 5
Null, warm           , mahana             , Pending                                                                                , 10, 1, 5
Null, easy           , mama               , Pending                                                                                , 1 , 1, 5
Null, sore           , mamae              , Pending                                                                                , 4 , 1, 5
Null, cold           , matao              , Pending                                                                                , 1 , 1, 5
Null, hungry         , matekai            , Pending                                                                                , 6 , 1, 5
Null, majority       , nuinga             , Pending                                                                                , 8 , 1, 5
Null, small          , paku               , Pending                                                                                , 7 , 1, 5
Null, very small     , pakupaku           , Pending                                                                                , 6 , 1, 5
Null, black          , pango              , Pending                                                                                , 9 , 1, 5
Null, brown          , parauri            , Pending                                                                                , 10, 1, 5
Null, short          , poto               , Pending                                                                                , 7 , 1, 5
Null, engine         , pukaha             , Pending                                                                                , 10, 1, 5
Null, sweet          , reka               , Pending                                                                                , 6 , 1, 5
Null, brave          , toa                , Pending                                                                                , 9 , 1, 5
Null, love           , aroha              , Pending                                                                                , 8 , 1, 6
Null, worried        , awangawanga        , Pending                                                                                , 10, 1, 6
Null, happy          , harikoa            , Pending                                                                                , 6 , 1, 6
Null, no!            , kao                , Pending                                                                                , 10, 1, 6
Null, bad            , kino               , Pending                                                                                , 7 , 1, 6
Null, happy          , koa                , Pending                                                                                , 5 , 1, 6
